Country,EdLevel,Experience,Language,Salary
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),92812.0
United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",27.0,Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;R;SQL,93938.0
Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;VBA,51071.0
Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,Bash/Shell (all shells);Java;Python;Scala;SQL,93044.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23.0,Assembly;Bash/Shell (all shells);C;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python,60328.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,C;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;MATLAB;Python;SQL;TypeScript,12000.0
United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,11.0,C++;PowerShell;Python,27228.0
Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,55399.0
France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Bash/Shell (all shells);C#;Go;Python;Rust,67637.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net),54457.0
Serbia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,Kotlin;Swift,81178.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,HTML/CSS;JavaScript;SQL;TypeScript,59128.0
Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Kotlin;Ruby,126473.0
Belgium,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",38.0,Bash/Shell (all shells);C;Fortran;Lua;MATLAB;Python;R,116015.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python,12530.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42.0,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Python;Rust;TypeScript,245055.0
Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35.0,Bash/Shell (all shells);C#;Groovy;Java;JavaScript;PowerShell;Python;SQL,104413.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,HTML/CSS;JavaScript;PHP;TypeScript,54527.0
France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45.0,C#;GDScript;Java;Python,98612.0
Greece,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,Bash/Shell (all shells);C#;Groovy;Java;Kotlin;PowerShell,48726.0
Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,HTML/CSS;Java;JavaScript;Python,60.0
Netherlands,Some college/university study without earning a degree,38.0,C#;HTML/CSS;Kotlin;SQL;TypeScript,87011.0
Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",39.0,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PowerShell;TypeScript,232029.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",38.0,Bash/Shell (all shells);C#;HTML/CSS;Java;PHP;PowerShell;Python;TypeScript,150819.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,175000.0
Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,HTML/CSS;Java;JavaScript;PHP,25800.0
Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35.0,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,290037.0
Denmark,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0,HTML/CSS;JavaScript;Kotlin;PHP;Swift;TypeScript,59720.0
Spain,Some college/university study without earning a degree,34.0,Bash/Shell (all shells);Go;Python;Ruby,81210.0
Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,Dart;HTML/CSS;JavaScript;TypeScript,47932.0
Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",26.0,C#;HTML/CSS;Java;JavaScript;Kotlin;Python,133417.0
Belgium,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,C#;HTML/CSS;TypeScript,127616.0
United Arab Emirates,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL,2178.0
Switzerland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12.0,Bash/Shell (all shells);HTML/CSS;Python;R;Rust;Scala,138872.0
Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,C#;PowerShell;SQL,116015.0
Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,C#;HTML/CSS;SQL;TypeScript;VBA,41765.0
India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,Assembly;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;JavaScript;Kotlin;Python,25573.0
India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,C;HTML/CSS;Python;SQL,558.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;VBA,106733.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,49886.0
Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,Ada;Bash/Shell (all shells);HTML/CSS;JavaScript;MATLAB;PowerShell;Python;Rust;TypeScript,171110.0
Lithuania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,62648.0
Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;SQL;Swift;TypeScript,145072.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;Kotlin;Python;Swift,75000.0
Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29.0,Bash/Shell (all shells);C#;PowerShell;Python;TypeScript,72746.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,C#;C++;HTML/CSS;JavaScript;PowerShell;SQL,98612.0
Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,66310.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;SQL,98612.0
Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,33567.0
United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,12.0,C;JavaScript;Python;SQL;TypeScript,47650.0
Czech Republic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,Bash/Shell (all shells);C#;PowerShell;Python;SQL,58507.0
Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,Assembly;Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;Rust,13922.0
Portugal,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",14.0,C#;HTML/CSS;JavaScript;PHP;TypeScript,25523.0
Hungary,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;TypeScript,6362.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42.0,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Lua;SQL,92812.0
Japan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,C;C++;Go;HTML/CSS;JavaScript;MATLAB;Python;Rust;SQL;TypeScript,60000.0
Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,C;Go;HTML/CSS;Python,40251.0
India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,11624.0
Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,Bash/Shell (all shells);C;C#;GDScript;Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;Gleam,48726.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,115720.0
Sweden,Primary/elementary school,12.0,C#;PowerShell;Python;SQL,46646.0
Netherlands,Some college/university study without earning a degree,22.0,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,116015.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Bash/Shell (all shells);C;Lua;PowerShell;Python;Rust;SQL,150000.0
Greece,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,HTML/CSS;JavaScript;SQL;TypeScript,150819.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,57953.0
Argentina,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,42653.0
France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",23.0,Java;MATLAB;Python,74900.0
Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,C;C++;JavaScript;Python;Rust,92812.0
Germany,Some college/university study without earning a degree,22.0,C#;SQL;VBA;Visual Basic (.Net),92812.0
Germany,Some college/university study without earning a degree,29.0,C#;C++;HTML/CSS;Java;PHP;Python;SQL;TypeScript;Visual Basic (.Net),20883.0
"Iran, Islamic Republic of...","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,C;C++;MATLAB;Python;Rust,59.0
Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Python;TypeScript,47924.0
Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,C#;GDScript;JavaScript;Lua;Python;Rust,99194.0
Canada,"Associate degree (A.A., A.S., etc.)",32.0,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;VBA,72958.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript,49886.0
Bolivia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Assembly;Bash/Shell (all shells);C;Java;JavaScript;PHP;SQL,18784.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,C;GDScript;Lua;OCaml;Python,25059.0
Paraguay,Some college/university study without earning a degree,30.0,C;C++;HTML/CSS;JavaScript,14.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,Bash/Shell (all shells);C;HTML/CSS;PowerShell;Python;Rust;SQL;TypeScript,101908.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Assembly;Bash/Shell (all shells);C;C++;Python,74000.0
Italy,Some college/university study without earning a degree,5.0,HTML/CSS;JavaScript;Python,30512.0
Turkey,Some college/university study without earning a degree,8.0,Bash/Shell (all shells);C#;GDScript;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,18178.0
Spain,Some college/university study without earning a degree,3.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,25523.0
Finland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,Bash/Shell (all shells);Java;Kotlin;Ruby;SQL,81210.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,C#;HTML/CSS;PowerShell;SQL,46406.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;Rust,160000.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Bash/Shell (all shells);C;HTML/CSS;JavaScript;MATLAB;PowerShell;Python,31313.0
Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",14.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL,40605.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35.0,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;SQL,250000.0
Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,HTML/CSS;Java;JavaScript;TypeScript,4074.0
Portugal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,46406.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,HTML/CSS;Java;Lua;PHP;Python;SQL;TypeScript,61488.0
Slovakia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27.0,Java;JavaScript;Python;Rust;TypeScript,92812.0
Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,Go;Java;Kotlin;Lua;Rust;TypeScript,59791.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,HTML/CSS;JavaScript;TypeScript,104413.0
Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,C++;Java;Python;TypeScript,133417.0
Indonesia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28.0,Elixir;Go;HTML/CSS;JavaScript;SQL,6128.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,Bash/Shell (all shells);Python;R,56000.0
Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,91013.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,61488.0
Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,46406.0
United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,7.0,Bash/Shell (all shells);Go;JavaScript;PHP,42204.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Assembly;Bash/Shell (all shells);Delphi;Groovy;PowerShell;SQL,83531.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32.0,C++;PowerShell;Python,75410.0
Israel,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",41.0,C;C#,126481.0
Bulgaria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,HTML/CSS;JavaScript,7665.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",34.0,C#;C++;HTML/CSS;JavaScript;PowerShell,87011.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Lisp;Python,32484.0
Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,Bash/Shell (all shells);C;C#;HTML/CSS;Python;Rust,186625.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),77730.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;TypeScript,84691.0
Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23.0,C++;Go;HTML/CSS;JavaScript;TypeScript,12759.0
Czech Republic,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",39.0,Bash/Shell (all shells);C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;MicroPython;PHP;PowerShell;SQL;TypeScript;VBA,93611.0
United States of America,"Associate degree (A.A., A.S., etc.)",10.0,Bash/Shell (all shells);C#;PHP;PowerShell;Python;SQL,103000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;SQL,146500.0
Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,52800.0
Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,C#;PowerShell;SQL,75693.0
Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,JavaScript;Python;SQL,190604.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript,63808.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,Assembly;Bash/Shell (all shells);C;C++;Groovy;PowerShell,150000.0
Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;Swift,38278.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Bash/Shell (all shells);Go;HTML/CSS;Lua;Python;Rust;SQL;TypeScript,345724.0
Italy,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10.0,Bash/Shell (all shells);C++;MATLAB;Python;R,34804.0
France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",38.0,Assembly;Bash/Shell (all shells);C;Groovy;Python,139218.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,280000.0
Ecuador,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL;TypeScript,100000.0
Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,Java;Scala,98531.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,HTML/CSS;JavaScript;TypeScript,220000.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",33.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,93972.0
Romania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,Java;Rust;TypeScript,24813.0
Germany,Some college/university study without earning a degree,8.0,Bash/Shell (all shells);C;Java;PHP;PowerShell;Python;R;SQL,52731.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,109438.0
United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",33.0,C++,440000.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,C;Go;Java;Lisp,116015.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript,59826.0
Singapore,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,Bash/Shell (all shells);HTML/CSS;TypeScript,109357.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,HTML/CSS;PHP;Python;SQL;TypeScript,46406.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,Bash/Shell (all shells);C#;PowerShell;SQL;Visual Basic (.Net),80050.0
France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",30.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,81210.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,C#;Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript,6961.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,81004.0
Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,86038.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",31.0,Swift;TypeScript,370000.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32.0,Bash/Shell (all shells);C;C++;Dart;MicroPython;Python;TypeScript,81210.0
Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",26.0,Bash/Shell (all shells);Lisp;Lua;Python;R;Ruby;Rust,95654.0
Ecuador,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,JavaScript;TypeScript,50400.0
Mexico,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",5.0,Bash/Shell (all shells);HTML/CSS;PowerShell;Python;SQL,31583.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Bash/Shell (all shells);JavaScript;Python;SQL,77730.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",34.0,C;HTML/CSS;JavaScript;PHP;SQL;Visual Basic (.Net),34035.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,74878.0
Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,4213.0
"Iran, Islamic Republic of...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,C++;Python,5000.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,54457.0
Denmark,"Associate degree (A.A., A.S., etc.)",5.0,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,24728.0
Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,HTML/CSS;JavaScript;Lua;SQL,37125.0
Portugal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,C#;C++;Python,80000.0
Belgium,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",15.0,Bash/Shell (all shells);HTML/CSS;PowerShell;Python;TypeScript,81210.0
Netherlands,"Associate degree (A.A., A.S., etc.)",16.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Ruby;SQL;TypeScript,110214.0
India,Some college/university study without earning a degree,4.0,C;C++;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,34872.0
Poland,Some college/university study without earning a degree,30.0,Bash/Shell (all shells);C;C++;Go;Python;SQL,150095.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Bash/Shell (all shells);HTML/CSS;Lisp;Lua;Python;Rust;TypeScript,170000.0
Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,Bash/Shell (all shells);HTML/CSS;Java;SQL;TypeScript,148791.0
Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,Go;Java;Python,72000.0
Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40.0,Bash/Shell (all shells);Perl;Python,5241.0
Poland,Some college/university study without earning a degree,5.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;SQL;Swift;TypeScript,32748.0
Guyana,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript,16740.0
Finland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,81210.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",41.0,Bash/Shell (all shells);JavaScript;Kotlin;PowerShell;Python;TypeScript;VBA,118443.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;TypeScript,190.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,C;C#;HTML/CSS;JavaScript;SQL;TypeScript,136141.0
Dominican Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,Java,65000.0
Brazil,"Associate degree (A.A., A.S., etc.)",28.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL,43689.0
France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",28.0,Bash/Shell (all shells);C;C++;Java;OCaml;Python,87011.0
Brazil,Some college/university study without earning a degree,10.0,HTML/CSS;JavaScript;PHP;Python;SQL,11811.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell,115000.0
Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,C#;C++;Python;TypeScript,116640.0
Canada,"Associate degree (A.A., A.S., etc.)",33.0,Go,182396.0
Croatia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,HTML/CSS;JavaScript;SQL;TypeScript,46406.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,58007.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,85000.0
Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,Bash/Shell (all shells);Java;Lua;PowerShell;Python;Rust;SQL,67195.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,Bash/Shell (all shells);C++;GDScript;HTML/CSS;JavaScript;Rust;TypeScript,71929.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32.0,C;C++;JavaScript;TypeScript,60000.0
Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Lua;Ruby;SQL;TypeScript,100765.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27.0,C;C#;C++;Fortran;HTML/CSS;JavaScript;MicroPython;Python;TypeScript,170000.0
India,Some college/university study without earning a degree,3.0,Python,279.0
